"","environment","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha"
"237","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2593","1",123,54,NA,6.94,13.86927
"238","LETHBRIDGE_2019","1","LETHBRIDGE","2019","CDC Glas","4",116,71.6666666666667,NA,5.99,47.482519454805
"239","LETHBRIDGE_2019","1","LETHBRIDGE","2019","FP2592","4",116,66.6666666666667,NA,7.41,41.1725376433209
"240","LETHBRIDGE_2019","2","LETHBRIDGE","2019","FP2590","4",110,60,NA,7.24,40.0854227103191
"241","LETHBRIDGE_2019","2","LETHBRIDGE","2019","CDC Glas","4",109,68.3333333333333,NA,5.87,40.0178431643413
"242","LETHBRIDGE_2019","2","LETHBRIDGE","2019","FP2595","4",111,61.6666666666667,NA,6.71,39.9428097803564
"243","LETHBRIDGE_2019","3","LETHBRIDGE","2019","FP2592","4",113,78.3333333333333,NA,7.4,39.5959087350923
"244","LETHBRIDGE_2019","1","LETHBRIDGE","2019","FP2589","4",115,61.6666666666667,NA,7.59,39.5940139061565
"245","LETHBRIDGE_2019","1","LETHBRIDGE","2019","FP2593","4",113,53.3333333333333,NA,7.46,38.9740802136575
"246","LETHBRIDGE_2019","3","LETHBRIDGE","2019","FP2589","4",111,68.3333333333333,NA,7.68,38.9446435971819
"247","LETHBRIDGE_2019","3","LETHBRIDGE","2019","AAC Bright","4",108,65,NA,6.57,38.8236036284938
"248","LETHBRIDGE_2019","2","LETHBRIDGE","2019","Topaz","4",109,61.6666666666667,NA,6.35,38.6279965004374
"249","LETHBRIDGE_2019","2","LETHBRIDGE","2019","FP2594","4",111,78.3333333333333,NA,6.83,38.4801319242989
"250","LETHBRIDGE_2019","1","LETHBRIDGE","2019","FP2590","4",116,73.3333333333333,NA,7.25,38.3814120274439
"251","LETHBRIDGE_2019","3","LETHBRIDGE","2019","FP2573","4",108,70,NA,6.53,38.15791776028
"252","LETHBRIDGE_2019","2","LETHBRIDGE","2019","CDC Bethune","4",109,81.6666666666667,NA,6.36,38.1134019431782
"253","LETHBRIDGE_2019","3","LETHBRIDGE","2019","CDC Dorado","4",112,73.3333333333333,NA,6.98,37.6290924160796
"254","LETHBRIDGE_2019","3","LETHBRIDGE","2019","FP2567","4",112,61.6666666666667,NA,7.42,37.4178362573099
"255","LETHBRIDGE_2019","1","LETHBRIDGE","2019","FP2566","4",116,60,NA,6.51,37.3685591932587
"256","LETHBRIDGE_2019","1","LETHBRIDGE","2019","FP2595","4",110,73.3333333333333,NA,6.68,36.6968526960446
"257","LETHBRIDGE_2019","2","LETHBRIDGE","2019","AAC Marvelous","4",110,71.6666666666667,NA,6.67,36.3068276004973
"258","LETHBRIDGE_2019","2","LETHBRIDGE","2019","FP2591","4",109,61.6666666666667,NA,6.89,35.9397016162453
"259","LETHBRIDGE_2019","1","LETHBRIDGE","2019","CDC Rowland","4",117,66.6666666666667,NA,7.22,35.7632891283326
