"","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha","environment"
"223",1,"INDIAN_HEAD","2019","FP2573","1",110,56,NA,6.11,17.366335,"INDIAN_HEAD_2019"
"224",1,"INDIAN_HEAD","2019","CDC Bethune","1",118,46,NA,5.57,17.13675,"INDIAN_HEAD_2019"
"225",1,"INDIAN_HEAD","2019","CDC Glas","1",113,54,NA,5.26,17.10755,"INDIAN_HEAD_2019"
"226",3,"INDIAN_HEAD","2019","CDC Dorado","1",103,48,NA,5.97,16.953885,"INDIAN_HEAD_2019"
"227",3,"INDIAN_HEAD","2019","AAC Prairie Sunshine","1",123,54,NA,5.4,16.845115,"INDIAN_HEAD_2019"
"228",1,"INDIAN_HEAD","2019","AAC Marvelous","1",113,56,NA,5.81,16.797665,"INDIAN_HEAD_2019"
"229",2,"INDIAN_HEAD","2019","ND Hammond","1",103,52,NA,5.17,16.388135,"INDIAN_HEAD_2019"
"230",1,"INDIAN_HEAD","2019","FP2566","1",113,50,NA,5.76,16.293965,"INDIAN_HEAD_2019"
"231",1,"INDIAN_HEAD","2019","AAC Bright","1",113,44,NA,5.63,16.142855,"INDIAN_HEAD_2019"
"232",1,"INDIAN_HEAD","2019","CDC Dorado","1",123,50,NA,5.92,15.955975,"INDIAN_HEAD_2019"
"233",2,"INDIAN_HEAD","2019","FP2567","1",112,58,NA,6.18,15.860345,"INDIAN_HEAD_2019"
"234",3,"INDIAN_HEAD","2019","CDC Bethune","1",118,54,NA,5.7,15.561045,"INDIAN_HEAD_2019"
"235",2,"INDIAN_HEAD","2019","AAC Bright","1",110,54,NA,5.72,15.340585,"INDIAN_HEAD_2019"
"236",1,"INDIAN_HEAD","2019","CDC Rowland","1",113,52,NA,6.78,14.922295,"INDIAN_HEAD_2019"
"237",1,"INDIAN_HEAD","2019","Topaz","1",110,52,NA,5.56,14.819,"INDIAN_HEAD_2019"
"238",1,"INDIAN_HEAD","2019","FP2589","1",123,48,NA,6.73,14.398155,"INDIAN_HEAD_2019"
"239",2,"INDIAN_HEAD","2019","CDC Dorado","1",112,52,NA,5.87,13.91161,"INDIAN_HEAD_2019"
"240",1,"INDIAN_HEAD","2019","FP2593","1",123,54,NA,6.94,13.86927,"INDIAN_HEAD_2019"
"241",1,"LETHBRIDGE","2019","CDC Glas","4",116,71.6666666666667,NA,5.99,47.482519454805,"LETHBRIDGE_2019"
"242",1,"LETHBRIDGE","2019","FP2592","4",116,66.6666666666667,NA,7.41,41.1725376433209,"LETHBRIDGE_2019"
"243",2,"LETHBRIDGE","2019","FP2590","4",110,60,NA,7.24,40.0854227103191,"LETHBRIDGE_2019"
"244",2,"LETHBRIDGE","2019","CDC Glas","4",109,68.3333333333333,NA,5.87,40.0178431643413,"LETHBRIDGE_2019"
"245",2,"LETHBRIDGE","2019","FP2595","4",111,61.6666666666667,NA,6.71,39.9428097803564,"LETHBRIDGE_2019"
"246",3,"LETHBRIDGE","2019","FP2592","4",113,78.3333333333333,NA,7.4,39.5959087350923,"LETHBRIDGE_2019"
"247",1,"LETHBRIDGE","2019","FP2589","4",115,61.6666666666667,NA,7.59,39.5940139061565,"LETHBRIDGE_2019"
"248",1,"LETHBRIDGE","2019","FP2593","4",113,53.3333333333333,NA,7.46,38.9740802136575,"LETHBRIDGE_2019"
